End Date,USD/UGX
2016-08-13,"3,366.90"
2016-08-14,"3,366.90"
2016-08-15,"3,368.31"
2016-08-16,"3,365.66"
2016-08-17,"3,369.66"
2016-08-18,"3,364.90"
2016-08-19,"3,364.94"
2016-08-20,"3,370.00"
2016-08-21,"3,370.00"
2016-08-22,"3,372.58"
2016-08-23,"3,365.66"
2016-08-24,"3,380.67"
2016-08-25,"3,377.19"
2016-08-26,"3,372.94"
2016-08-27,"3,398.05"
2016-08-28,"3,399.09"
2016-08-29,"3,386.93"
2016-08-30,"3,376.31"
2016-08-31,"3,383.05"
2016-09-01,"3,374.33"
2016-09-02,"3,366.39"
2016-09-03,"3,383.65"
2016-09-04,"3,383.65"
2016-09-05,"3,379.64"
2016-09-06,"3,379.88"
2016-09-07,"3,368.41"
2016-09-08,"3,385.54"
2016-09-09,"3,389.34"
2016-09-10,"3,390.90"
2016-09-11,"3,390.90"
2016-09-12,"3,386.14"
2016-09-13,"3,380.67"
2016-09-14,"3,385.26"
2016-09-15,"3,376.28"
2016-09-16,"3,377.80"
2016-09-17,"3,400.55"
2016-09-18,"3,400.55"
2016-09-19,"3,377.30"
2016-09-20,"3,375.82"
2016-09-21,"3,386.67"
2016-09-22,"3,380.13"
2016-09-23,"3,394.46"
2016-09-24,"3,384.30"
2016-09-25,"3,384.30"
2016-09-26,"3,384.75"
2016-09-27,"3,390.31"
2016-09-28,"3,394.32"
2016-09-29,"3,385.37"
2016-09-30,"3,389.65"
2016-10-01,"3,367.00"
2016-10-02,"3,367.00"
2016-10-03,"3,379.89"
2016-10-04,"3,399.89"
2016-10-05,"3,393.19"
2016-10-06,"3,409.27"
2016-10-07,"3,422.17"
2016-10-08,"3,393.75"
2016-10-09,"3,393.75"
2016-10-10,"3,402.83"
2016-10-11,"3,418.89"
2016-10-12,"3,423.42"
2016-10-13,"3,429.48"
2016-10-14,"3,440.90"
2016-10-15,"3,465.70"
2016-10-16,"3,465.70"
2016-10-17,"3,462.82"
2016-10-18,"3,459.20"
2016-10-19,"3,464.07"
2016-10-20,"3,444.62"
2016-10-21,"3,450.57"
2016-10-22,"3,446.75"
2016-10-23,"3,446.75"
2016-10-24,"3,441.96"
2016-10-25,"3,448.75"
2016-10-26,"3,458.50"
2016-10-27,"3,464.85"
2016-10-28,"3,469.44"
2016-10-29,"3,442.45"
2016-10-30,"3,442.45"
2016-10-31,"3,455.29"
2016-11-01,"3,465.56"
2016-11-02,"3,470.12"
2016-11-03,"3,479.88"
2016-11-04,"3,480.06"
2016-11-05,"3,483.10"
2016-11-06,"3,510.00"
2016-11-07,"3,504.81"
2016-11-08,"3,512.54"
2016-11-09,"3,525.34"
2016-11-10,"3,554.56"
