Police_Station,population_estimate
ABERDEEN,9867
ACORNHOEK,127623
ACTONVILLE,52831
ADDO,20938
ADELAIDE,13588
AFSONDERING,21315
AGGENEYS,2384
AKASIA,191804
ALBERTINIA,8328
ALBERTON,90144
ALEXANDER BAY,4864
ALEXANDRA,177765
ALEXANDRA ROAD,86479
ALEXANDRIA,13845
ALGOAPARK,35483
ALICE,44034
ALICEDALE,4420
ALIWAL NORTH,18526
ALLANRIDGE,19815
ALLDAYS,6410
AMALIA,7709
AMANGWE,43393
AMANZIMTOTI,60044
AMERSFOORT,36169
AMSTERDAM,26149
APEL,73865
ARLINGTON,4900
ASHTON,18655
ASSEN,5985
ATAMELANG,35583
ATHLONE,63307
ATLANTIS,79631
ATTERIDGEVILLE,170122
AUGRABIES,14379
AVONDALE,33902
BABANANGO,28358
BADPLAAS,11857
BAINSVLEI,21457
BALFOUR,4209
BALFOUR TVL,26583
BARBERTON,64646
BARKLY EAST,13077
BARKLY WEST,22943
BARRYDALE,7452
Bathlaros,21285
BATHO,15869
BATHURST,8306
BAVIAANSKLOOF,1047
BAYSWATER,20943
BAYVIEW,38319
BEACON BAY,30945
BEAUFORT WEST,40076
BEDFORD,10480
BEDFORDVIEW,38767
BEDWANG,22927
BEKKERSDAL,77221
BELA-BELA,58987
BELFAST,20892
BELHAR,56835
BELL,6848
BELLAIR,25320
BELLVILLE,65990
BELLVILLE SOUTH,29295
BELMONT,750
BENONI,119025
BEREA,27567
BERGVILLE,54820
BERLIN,13417
BESTERS,28217
BETHAL,17020
BETHANIE,52588
BETHELSDORP,144156
BETHLEHEM,87343
BETHULIE,7302
BHEKITHEMBA,136659
BHISHO,17229
Bholo,5569
Bholothwa,17109
BIESIESVLEI,12731
BISHOP LAVIS,106051
BISHOPSTOWE,13409
BITYI,73691
BLINKPAN,17013
BLOEMHOF,30084
BLOEMSPRUIT,103393
BLUEWATER,10265
BOETSAP,529
BOIPATONG,24357
BOITEKONG,147008
BOITHUSO,99830
BOKSBURG,63183
BOKSBURG NORTH,61416
BOLOBEDU,166745
BONNIEVALE,13959
BOONS,6532
BOOYSENS,80499
BOSCHKOP,30417
BOSHOEK,4896
BOSHOF,10540
BOSTON,5935
BOTHASIG,26681
BOTHAVILLE,50676
